data_time,UE_Pcell_rsrp,UE_Ncell_rsrp_1,UE_Ncell_rsrp_2,UE_mcs2_ul,UE_mcs1_dl,UE_wbCQI,UE_mcs1_dl,Pcell_prb_dl_used,UE_pdu_dl_used,UE_tbs_dl_used,Ncell_prb_dl_used_1,Ncell_prb_dl_used_2,UE_prb_retx_rate
2021-06-21+19_33_45,-66,-100,-85,28,28,15,27.93333333,282,25,24166,0,0,0.053691275
2021-06-21+19_33_46,-66,-104,-85,28,28,15,27.97254902,12363,514,1132967,0,0,0.01372158
2021-06-21+19_33_47,-66,-103,-85,28,28,15,27.99582754,17487,721,1603242,0,0,0.01130774
2021-06-21+19_33_48,-66,-103,-85,28,27,15,27.99173554,20563,848,1885346,0,0,0.002425654
2021-06-21+19_33_49,-65,-103,-85,28,28,15,27.97911548,19765,817,1811750,0,0,0.014607638
2021-06-21+19_33_50,-66,-103,-85,28,28,15,27.99895507,23279,959,2134386,0,0,0.013476289
2021-06-21+19_33_51,-65,-103,-85,28,28,15,27.99104478,16303,673,1494438,0,0,0.019368421
2021-06-21+19_33_52,-66,-103,-85,28,28,15,27.99055331,17944,743,1644966,0,0,0.007796516
2021-06-21+19_33_53,-66,-92,-85,28,28,15,27.97309417,16229,672,1487451,0,0,0.01785282
2021-06-21+19_33_54,-66,-82,-85,28,28,15,27.94900222,10977,456,1005575,0,0,0.004534325
2021-06-21+19_33_55,-66,-88,-85,28,28,15,28,13249,549,1214287,0,0,0.011194865
2021-06-21+19_33_56,-66,-87,-85,28,28,15,27.99044586,7646,321,699750,0,0,0.009713768
2021-06-21+19_33_57,-66,-101,-85,28,28,15,28,5093,218,465894,0,0,0.014130856
2021-06-21+19_33_58,-66,-101,-85,28,28,15,27.95571956,13050,548,1195467,0,0,0.005032022
2021-06-21+19_33_59,-66,-101,-85,28,28,15,27.90038314,12625,526,1156455,0,0,0.013671875
2021-06-21+19_34_00,-66,-101,-85,28,28,15,28,5681,240,519739,0,0,0.008724481
2021-06-21+19_34_01,-66,-87,-85,28,28,15,28,11317,471,1036724,0,0,0
2021-06-21+19_34_02,-66,-101,-85,28,28,15,28,9488,395,869222,0,0,0.007842727
2021-06-21+19_34_03,-66,-102,-85,28,28,15,27.97077244,11620,484,1064593,0,0,0.016920474
2021-06-21+19_34_05,-66,-101,-85,28,28,15,28,15464,640,1417454,0,0,0.008018475
2021-06-21+19_34_06,-66,-101,-85,28,28,15,28,8560,356,784099,0,0,0.011547344
2021-06-21+19_34_07,-66,-101,-85,28,28,15,27.97368421,5434,235,497025,0,0,0.009298086
2021-06-21+19_34_08,-66,-103,-85,28,28,15,27.99095841,13419,557,1229773,0,0,0.01105461
2021-06-21+19_34_09,-66,-92,-85,28,28,15,27.98217822,12223,509,1119950,0,0,0.006098553
2021-06-21+19_34_10,-66,-92,-85,28,28,15,27.99523242,20429,841,1872929,0,0,0.015659632
2021-06-21+19_34_11,-66,-86,-85,28,5,15,27.96349413,18590,768,1704515,0,0,0.001343003
2021-06-21+19_34_12,-66,-98,-85,28,28,15,27.98534799,13282,551,1216875,0,0,0.011167362
2021-06-21+19_34_13,-66,-100,-85,28,28,15,27.97058824,11595,481,1062272,0,0,0.006426735
2021-06-21+19_34_14,-66,-100,-85,28,28,15,28,8630,363,790412,0,0,0.008615738
2021-06-21+19_34_15,-67,-100,-85,28,28,15,28,12361,514,1132878,0,0,0.015216699
2021-06-21+19_34_16,-67,-99,-85,28,28,15,27.95847176,14568,606,1335027,0,0,0.012004069
2021-06-21+19_34_17,-67,-99,-85,28,28,15,27.944,2991,133,272585,0,0,0.01644196
2021-06-21+19_34_18,-66,-99,-85,28,28,15,27.96470588,12299,515,1126766,0,0,0.01600128
2021-06-21+19_34_19,-67,-99,-85,28,28,15,20.33333333,36,11,1659,0,0,0.307692308
